OBJECTID,canada_points,X,Y,bc_forst_carb,wc2_0_bio_10m_01,wc2_0_bio_10m_04,wc2_0_bio_10m_06,wc2_0_bio_10m_11,wc2_0_bio_10m_13,wc2_0_bio_10m_16
43,42,-124.232502544204834,59.578536668957454,168.000000000000000,-1.372020840644836,1437.369093267785729,-30.188249588012695,-20.236666520436604,95.000000000000000,233.000000000000000
44,43,-125.353197334640484,55.105382039255701,83.000000000000000,1.575864493846893,898.849882218081916,-17.489999771118164,-9.877041737238565,56.000000000000000,158.000000000000000
45,44,-130.469945896271213,56.265824874801972,,-0.009041662017504,709.157476748287991,-13.642999649047852,-7.716708362102509,259.000000000000000,739.000000000000000
46,45,-124.575739026334929,59.715973843534663,127.000000000000000,-1.379051978389422,1375.840212753007108,-28.851499557495117,-19.316666444142658,93.000000000000000,231.000000000000000
47,46,-126.961589789120183,52.411991251421121,,3.109404737750689,633.523959039971942,-9.023428916931152,-4.179095268249512,248.000000000000000,721.000000000000000
48,47,-121.629062140740771,58.853804347788241,,-1.303510492046674,1325.629941698211951,-27.885749816894531,-18.248833497365315,92.000000000000000,225.000000000000000
49,48,-125.306350404376559,59.947920838371161,,-1.583510385205348,1136.479881938612380,-23.424499511718750,-15.474666595458984,93.000000000000000,233.000000000000000
50,49,-122.929412328791273,54.112142297625191,31.000000000000000,3.352197930837671,906.900256931928993,-16.394250869750977,-8.232875126103560,69.000000000000000,186.000000000000000
51,50,-117.537251644392157,51.989613553158421,,-1.723947937289874,846.116536917907979,-17.650499343872070,-11.968999942143759,133.000000000000000,372.000000000000000
52,51,-129.023810688382866,57.001175469680831,,-1.693593710660934,869.623730059278046,-19.180749893188477,-12.058791557947794,95.000000000000000,260.000000000000000
53,52,-121.311009570149025,56.343071701032784,,1.698823042213917,1030.900386221700273,-18.590250015258789,-11.174999912579855,85.000000000000000,219.000000000000000
54,53,-127.009425230253299,50.008206722298063,119.000000000000000,7.814428365634133,456.194647533501893,-1.576308488845825,2.864462782318393,498.000000000000000,1384.000000000000000
55,54,-124.845322586634126,57.413884306187086,20.000000000000000,-2.140770827730497,946.834431842455047,-20.530500411987305,-13.481124877929688,95.000000000000000,248.000000000000000
56,55,-128.947280010687336,53.422742195418593,183.000000000000000,6.030652660876513,533.571443304617901,-4.543006896972656,-0.140093266963959,522.000000000000000,1500.000000000000000
57,56,-116.638105278046197,50.731954123865869,,-1.394333293040593,781.381773624740845,-15.474499702453613,-10.627916574478149,136.000000000000000,376.000000000000000
58,57,-133.916683074200392,58.932380118358147,,-2.120114649335543,835.971862924067977,-17.156000137329102,-11.602833350499472,136.000000000000000,367.000000000000000
59,58,-124.840890410618343,57.790600986611508,,-3.403395792469382,957.873885114296058,-21.344749450683594,-14.843708356221518,107.000000000000000,276.000000000000000
60,59,-127.700172102244494,52.014188310178767,16.000000000000000,6.921270139515400,482.277742330549472,-2.873655796051025,1.595878173907598,429.000000000000000,1235.000000000000000
61,60,-133.309428492762066,59.567555808782487,,-2.207218835751215,956.003436381088477,-21.456249237060547,-13.987791935602823,61.000000000000000,172.000000000000000
62,61,-119.245336570016093,51.837977866391967,125.000000000000000,2.571229150208334,782.884319774308892,-14.188249588012695,-7.070166662335396,141.000000000000000,393.000000000000000
63,62,-128.976507694105294,58.625700957064794,,-3.093437464907765,932.938193317576179,-20.183000564575195,-14.056916554768881,77.000000000000000,219.000000000000000
64,63,-126.674837517727440,58.633564758780807,1.000000000000000,-1.762156258026759,1007.080702776648423,-21.400749206542969,-14.143833398818970,81.000000000000000,207.000000000000000
65,64,-120.339027505431801,55.766037688393439,6.000000000000000,2.234395856658618,1006.811070765437194,-17.953500747680664,-10.354791720708212,83.000000000000000,220.000000000000000
66,65,-127.580376888371262,56.755111588479693,,-2.285072967410088,846.921648465720409,-18.824499130249023,-12.239541610081991,85.000000000000000,239.000000000000000
67,66,-130.331946578217867,58.808172355487109,33.000000000000000,-1.929843778411547,1011.162557094720796,-22.026750564575195,-14.405541896820068,67.000000000000000,193.000000000000000
68,67,-123.749076303030620,53.786402469891996,5.000000000000000,2.601802002638578,875.114155516360938,-17.172500610351563,-8.526333411534628,67.000000000000000,179.000000000000000
69,68,-126.326083583660676,58.253975449756325,,-2.839479142799973,934.135837237280384,-20.185499191284180,-13.885624965031942,91.000000000000000,234.000000000000000
70,69,-130.270007426624034,56.666989200575664,167.000000000000000,-0.115104123950005,726.902075771018417,-14.464249610900879,-8.292458295822144,182.000000000000000,512.000000000000000
71,70,-129.724733554955577,59.890326810223769,,-2.052677040298780,1149.679840955468308,-24.267999649047852,-16.566124757130940,66.000000000000000,181.000000000000000
72,71,-118.908360581985775,52.243110406409627,,-1.204791709780693,788.095199763769983,-15.484749794006348,-10.305958429972330,142.000000000000000,387.000000000000000
73,72,-127.782989117339014,58.315215012635029,,-3.008645812670390,948.376903839703004,-21.016750335693359,-14.335166772206625,79.000000000000000,214.000000000000000
74,73,-117.171098031282455,51.604914592234849,169.000000000000000,2.113072873403629,867.248372354460912,-16.530250549316406,-8.770583316683769,117.000000000000000,335.000000000000000
75,74,-131.635439780151358,59.089774187615532,,-1.232593814531962,1056.070106245666693,-22.955499649047852,-14.740624984105429,65.000000000000000,180.000000000000000
76,75,-132.022378793309315,52.699519214707998,,7.196089124307036,396.625103494047551,-0.123684212565422,3.031140389541785,538.000000000000000,1465.000000000000000
77,76,-136.865413280321008,59.644814723729340,,-2.256739599009355,777.637121589192589,-16.463499069213867,-10.505041519800821,124.000000000000000,327.000000000000000
78,77,-119.718426250854094,52.581278745027781,,-0.518510411183039,791.730226929808509,-15.400500297546387,-9.757250070571899,135.000000000000000,364.000000000000000
79,78,-119.734296601976723,52.047941222019027,,2.042875001672655,760.384844029073520,-14.122500419616699,-7.263166661684711,130.000000000000000,354.000000000000000
80,79,-118.682267953277432,49.079450443051442,,5.444937457640965,824.279895627482006,-12.702750205993652,-4.747708519299825,60.000000000000000,156.000000000000000
81,80,-124.045734200197728,52.943002504530362,115.000000000000000,2.001999961833159,802.439449739436327,-16.311750411987305,-7.982249955336253,59.000000000000000,162.000000000000000
82,81,-129.845582225464284,58.376817424879896,,-1.210948015252749,1028.157897962422112,-22.417749404907227,-14.341583569844564,64.000000000000000,181.000000000000000
83,82,-123.406847947710972,58.257826836164170,0.000000000000000,-0.770354150484006,965.041339143636492,-19.251749038696289,-12.113416433334351,125.000000000000000,315.000000000000000
84,83,-122.123556662372067,56.976288758428666,59.000000000000000,0.779281278451284,1002.278847268206846,-18.869499206542969,-11.447958310445150,99.000000000000000,258.000000000000000
85,84,-133.300013960242097,58.273292452807951,,0.313645889361699,748.219469366283192,-14.269249916076660,-8.135583360989889,237.000000000000000,598.000000000000000
86,85,-129.293188456210657,54.191720383780542,,4.303843734165032,624.134833593050530,-9.025250434875488,-3.089250057935715,334.000000000000000,946.000000000000000
87,86,-124.612729394768749,50.832038091703694,123.000000000000000,1.122906253362695,696.661755645849325,-11.887249946594238,-7.017750084400177,146.000000000000000,395.000000000000000
88,87,-120.139583289648385,51.507902101118177,79.000000000000000,4.758281295498212,839.953497473264406,-13.630499839782715,-5.779124935468038,78.000000000000000,212.000000000000000
