,COMBINED_C,WC2_0_BIO_10M_01,WC2_0_BIO_10M_04,WC2_0_BIO_10M_06,WC2_0_BIO_10M_11,WC2_0_BIO_10M_13,WC2_0_BIO_10M_16,PREDSEQ,MIN_INT,MAX_INT,PREDINT_WIDTH
128,70.0,5.732593764861424,776.8834298956031,-10.936750411987305,-3.6070000926653534,105.0,308.0,0.4181856151308761,-0.5574044585855953,2.130086421966553,2.6874908805521485
129,65.0,-1.3782603542009992,1339.6665950503127,-28.216249465942386,-18.54504140218099,92.0,227.0,0.012507939373178775,-1.0529741048812868,1.344442367553711,2.3974164724349976
130,127.0,2.638843660553297,780.6411147520006,-13.89424991607666,-6.86754163602988,105.0,290.0,1.6017102220295762,-0.7120641547737824,2.29885196685791,3.0109161216316926
131,236.0,8.266030452602232,444.4225858465677,-1.117664694786072,3.217814393651982,313.0,905.0,2.1340252853650585,-1.091033101081848,5.765953986682964,6.8569870877648125
132,0.0,-0.605708353221416,1065.483266518935,-23.170000076293945,-14.482874949773151,65.0,180.0,-0.23733114236426625,-1.0529741048812868,1.334081506168806,2.387055611050093
133,152.0,1.6086250022053719,889.9277185205991,-17.95199966430664,-9.785999973615013,57.0,161.0,0.9963425657515994,-0.8075618052086808,2.2747023548829652,3.082264160091646
134,222.0,1.161718722432852,862.0985426981883,-17.45025062561035,-9.486916681130726,81.0,225.0,1.063322432072827,-1.0529741048812868,2.2747023548829652,3.327676459764252
135,219.0,8.435078399876753,391.6942670458511,0.9806267619133,4.0384614765644065,354.0,1012.0,2.115346478032269,-1.091033101081848,5.999257123470311,7.0902902245521595
140,0.0,-1.877875044941902,983.9241962801822,-21.36775016784668,-14.101750214894615,76.0,199.0,-0.24581975665698244,-1.0529741048812868,1.334081506168806,2.387055611050093
141,11.0,3.6845311932265763,742.1640195843988,-11.478500366210938,-5.279208327333133,55.0,151.0,-0.13749763971682655,-1.048171997070313,1.334081506168806,2.382253503239119
142,60.0,-2.1300832579533258,896.7905556786073,-19.4424991607666,-12.810166358947756,83.0,219.0,-0.08382869150368545,-1.0529741048812868,1.344442367553711,2.3974164724349976
143,39.0,0.36833342413107595,1148.5749449298517,-22.488000869750977,-13.927208423614502,99.0,246.0,0.06192782176947457,-1.0529741048812868,1.334081506168806,2.387055611050093
145,23.0,0.320562458286683,978.9119726076384,-18.857999801635746,-11.403500040372212,118.0,301.0,-0.1057978728894231,-1.0529741048812868,1.7586753755807902,2.8116494804620773
147,11.0,-0.131624944508076,989.0228803245927,-21.100500106811523,-12.55816650390625,67.0,179.0,-0.2696591662706926,-1.0529741048812868,1.334081506168806,2.387055611050093
149,80.0,0.09023958087588399,860.2585207464525,-16.326749801635742,-10.061416625976564,106.0,279.0,0.4948497534392849,-1.0529741048812868,1.5250505656003979,2.5780246704816845
150,120.0,2.097947899562617,818.9796148019863,-15.416000366210938,-7.973791658878326,84.0,217.0,1.3413442974025098,-1.0529741048812868,2.29885196685791,3.3518260717391968
151,0.0,0.116770902027686,900.1648257344659,-17.973499298095703,-10.641124884287516,95.0,258.0,-0.13196391097922758,-1.0529741048812868,1.334081506168806,2.387055611050093
153,115.0,1.629864678407709,971.6669664125943,-18.892000198364254,-10.792750040690102,68.0,185.0,1.1382105000606277,-0.813949384064581,2.248010678489604,3.061960062554185
