OBJECTID,OR_random_Merge,X,Y,raster_OR_c,raster_WA_c
224,224,-117.514501458204450,45.351934267430465,0.662009404274715,
225,225,-117.547495905801213,45.417273182606266,0.662009404274715,
226,226,-117.645255607096033,45.467663289445397,0.518291221904719,
227,227,-117.591647771611122,45.362058264744746,0.518291221904719,
228,228,-117.543432569018080,45.356665396160679,0.662009404274715,
229,229,-117.481935517015586,45.267645858368155,0.518291221904719,
230,230,-117.449448859822155,45.140255754875739,0.518291221904719,
231,231,-117.592959720585270,45.565658644156997,0.787753008856631,
232,232,-117.554453148142557,45.644145017571361,0.787753008856631,
233,233,-117.692930671635054,45.681129676500007,0.787753008856631,
234,234,-117.624094236620977,45.543931043915165,0.787753008856631,
235,235,-117.683214546062175,45.725302301550926,0.787753008856631,
236,236,-117.613521325354498,45.923554147564971,0.389197454941693,0.389197454941693
237,237,-117.624285634443993,45.891293412334733,0.389197454941693,0.389197454941693
238,238,-117.696989571112624,45.902795432974813,0.389197454941693,0.389197454941693
239,239,-117.723762509355026,45.912636249568948,0.389197454941693,0.389197454941693
240,240,-117.733781289734452,45.851984952670193,0.389197454941693,0.389197454941693
241,241,-117.327034592434643,45.832044100537473,-0.029400814474992,-0.029400814474992
242,242,-117.354091013086133,45.834773944899950,-0.029400814474992,-0.029400814474992
243,243,-117.464794955160187,45.846585587712411,-0.029400814474992,-0.029400814474992
244,244,-117.466136733744008,45.737110455405059,-0.029400814474992,-0.029400814474992
245,245,-117.405668948067841,45.770055122972735,-0.029400814474992,-0.029400814474992
246,246,-117.837095896964684,45.891866543148808,0.416314686307182,0.416314686307182
247,247,-117.672897933397905,45.960406469770362,0.416314686307182,0.416314686307182
248,248,-117.601840695853014,46.038188801495380,0.416314686307182,0.416314686307182
249,249,-117.702815135280332,46.068910403322491,0.416314686307182,0.416314686307182
250,250,-117.810196244112205,46.002899818259380,0.416314686307182,0.416314686307182
251,251,-117.089315618890339,45.832994052572928,0.150720858804951,0.423903325540070
252,252,-116.992554070832114,45.708210937735828,0.423903325540070,0.423903325540070
253,253,-117.010159438542075,45.589163657110646,0.423903325540070,0.423903325540070
